,y,Value
0,y1,0.0012704323193157773
1,y2,0.0012695810710702852
2,y3,0.000884932137463624
3,y4,0.0009443855805601663
4,y5,0.0010133249938814467
5,y6,0.0008630857606415682
6,y7,0.0009967981186168131
7,y8,0.000987579059784701
8,y9,0.0008002980092643909
9,y10,0.0008216896828375017
10,y11,0.0006768704580065966
11,y12,0.0006792734549707627
12,y13,0.0007913149607079604
13,y14,0.0005900267814106814
14,y15,0.0005079656862591623
15,y16,0.0006328301175177389
16,y17,0.0005877119665057407
17,y18,0.0006816591841033493
18,y19,0.0005846522589328975
19,y20,0.0006519370593553489
20,y21,0.0003584337820276312
21,y22,0.00030471078380830903
22,y23,0.0004917749649105082
23,y24,0.0005135012925524921
24,y25,0.00036595276697992825
25,y26,0.000788185367530716
26,y27,0.0003318505448125364
27,y28,0.0005367921535911174
28,y29,0.00040269891730305746
29,y30,0.00041179992693692844
30,y31,0.00045560781059195187
31,y32,0.0004711350441241803
32,y33,0.0005729927071715314
33,y34,0.0005325273173786957
34,y35,0.00031229060367761013
35,y36,0.0004832980707709516
36,y37,0.0004121089483383317
37,y38,0.0006496837743031539
38,y39,0.00047578515037307033
39,y40,0.00032932143460222567
40,y41,0.00023212833737969486
41,y42,0.0005237636434928935
42,y43,0.00044129659071751455
43,y44,0.00044399923246093374
44,y45,0.0003321364156371728
45,y46,0.0003540029487938047
46,y47,0.0003230879046556237
47,y48,0.0004507323629229301
48,y49,0.0005248992042154722
49,y50,0.0002768849252844595
50,y51,0.00035784034429177174
51,y52,0.0003655486079772552
52,y53,0.00044438496712186955
53,y54,0.000536221847911661
54,y55,0.0004496618858110746
55,y56,0.0002630004982552062
56,y57,0.0004313482095920787
57,y58,0.00040111203885733886
58,y59,0.0002814901120241725
59,y60,0.000390069955415894
60,y61,0.0005828039620631434
61,y62,0.00026296138089037933
62,y63,0.0005153206599583513
63,y64,0.00032492272393807935
64,y65,0.0015004069730321942
65,y66,0.0015909338549176444
66,y67,0.0013165521512108899
67,y68,0.0014275017348258782
68,y69,0.0014355641999339458
69,y70,0.0013546002001333074
70,y71,0.0011955783104933989
71,y72,0.001346133355548282
72,y73,0.0014222882748998714
73,y74,0.001668707549874917
74,y75,0.0015673276989412743
75,y76,0.0013257761275090956
76,y77,0.0010984661861847484
77,y78,0.0011410126914516805
78,y79,0.00113576601004507
79,y80,0.0009154965610419782
80,y81,0.0007788987458215612
81,y82,0.0009140151937435595
82,y83,0.0007138775937669231
83,y84,0.0006068683804565234
84,y85,0.0007878827131205222
85,y86,0.0006614498681993225
86,y87,0.0006713966830845559
87,y88,0.0005819726554378797
88,y89,0.0006189555379561728
89,y90,0.0005264306424951835
90,y91,0.0005308845062096077
91,y92,0.00045007249566350035
92,y93,0.0004854843212396709
93,y94,0.0007309199957409178
94,y95,0.0006128082440978542
95,y96,0.0004989539177829459
96,y97,0.0004234109330058386
97,y98,0.0006433582715382563
98,y99,0.00041768248072717655
99,y100,0.0004999444470105418
100,y101,0.00046472488816237293
101,y102,0.0004284304884281524
102,y103,0.00037173276562949676
103,y104,0.0003010816731964127
104,y105,0.0005515497889942807
105,y106,0.0003570216531842721
106,y107,0.000422290174102411
107,y108,0.00038365054302760907
108,y109,0.0004168977169206188
109,y110,0.00043249803542602905
110,y111,0.0004366166985370817
111,y112,0.00042947169020898763
112,y113,0.0005075614348459247
113,y114,0.0006099376533808886
114,y115,0.0004970402447545535
115,y116,0.0003845493200166379
116,y117,0.00048377292081803314
117,y118,0.0003866187694188124
118,y119,0.0004078791846138481
119,y120,0.0003013931758571311
120,y121,0.0005133761020199485
121,y122,0.0005038818305432705
122,y123,0.0002841271844856964
123,y124,0.000380312543505664
124,y125,0.0007321798595850766
125,y126,0.000327002483544949
126,y127,0.00015287849385434748
127,y128,0.0002941620904519488
128,y129,0.001947246283017197
129,y130,0.0020566177230705546
130,y131,0.00189600771851631
131,y132,0.002049978633768876
132,y133,0.0017956833408243832
133,y134,0.0018540304946423156
134,y135,0.0015256342633383697
135,y136,0.0019012721610414706
136,y137,0.0021514280539639908
137,y138,0.0023135341621655196
138,y139,0.0021885847345111545
139,y140,0.0022141827248422343
140,y141,0.0022881740756867273
141,y142,0.0019018032323672497
142,y143,0.001700790035197448
143,y144,0.001773610317944366
144,y145,0.0017592812109649702
145,y146,0.0018867590766833014
146,y147,0.001557462693057683
147,y148,0.0016900577372185174
148,y149,0.001399439580454842
149,y150,0.0011956376265200462
150,y151,0.0011113239357501408
151,y152,0.0010743124183367847
152,y153,0.0010094386089869781
153,y154,0.000818662749190803
154,y155,0.0006004800237166111
155,y156,0.0009632710007969261
156,y157,0.0005908759382226613
157,y158,0.0007117540373409672
158,y159,0.0006319325364541206
159,y160,0.0006044792492678803
160,y161,0.0006018296189174872
161,y162,0.0004805097234449988
162,y163,0.0006813940014879103
163,y164,0.0005148239087560666
164,y165,0.0004597409750536159
165,y166,0.0006350767557041641
166,y167,0.0006489385088039101
167,y168,0.0006307109705865142
168,y169,0.00046283249607698265
169,y170,0.0006033690969745188
170,y171,0.00032659880924530883
171,y172,0.0004643156138555583
172,y173,0.00042477523528438254
173,y174,0.0005980691179906252
174,y175,0.0003338311735364079
175,y176,0.0005879238225292052
176,y177,0.00035450830929175466
177,y178,0.0004361344217163847
178,y179,0.0004923941064721763
179,y180,0.00036140603517963095
180,y181,0.00038268011316875734
181,y182,0.00031866776261425296
182,y183,0.0003409080106653396
183,y184,0.0003790649333561133
184,y185,0.00030692365411749765
185,y186,0.00040803897876660303
186,y187,0.00036479655539893227
187,y188,0.0004638260642139888
188,y189,0.0004513014650263318
189,y190,0.000244718753524029
190,y191,0.00031175941857732405
191,y192,0.0003417806198500593
192,y193,0.002444071715243809
193,y194,0.0022640899362438996
194,y195,0.0020113040002957628
195,y196,0.002029930158798598
196,y197,0.002233374919379522
197,y198,0.0015581337876267233
198,y199,0.0020778007393768613
199,y200,0.002018272433032468
200,y201,0.0023216951781484417
201,y202,0.0027147394629410404
202,y203,0.002715186232240766
203,y204,0.0028655144498089436
204,y205,0.0022303396821649808
205,y206,0.0023825856685458936
206,y207,0.002641472946457232
207,y208,0.0022806656993008
208,y209,0.0026896579245381724
209,y210,0.002457435009785871
210,y211,0.0024885636336632075
211,y212,0.002925196562347406
212,y213,0.0023180541083818347
213,y214,0.0024748462391269033
214,y215,0.0022000717215744834
215,y216,0.002481176517290582
216,y217,0.0023561193560942763
217,y218,0.0012290796299137842
218,y219,0.0014013415375489096
219,y220,0.001596326465123114
220,y221,0.0020003993391846026
221,y222,0.001623277299894188
222,y223,0.0012554578281189228
223,y224,0.00107119671653241
224,y225,0.0008860074932380666
225,y226,0.0007172155845256042
226,y227,0.0008521318881944073
